striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
J Suchith,1,0.5,1.0,0.0,0.0,0.5,0.0019960079840319,0.8701898528524347,0.8278754594644095
Karanveer Singh,1,0.5,1.0,0.0,0.0,0.5,0.0019960079840319,0.8701898528524347,0.8278754594644095
MA Starc,1,0.5,1.0,0.0,0.0,0.5,0.0019960079840319,0.8701898528524347,0.8278754594644095
MV Boucher,12,1.0,0.8333333333333334,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.0234375,0.8700490552325582,0.8277415083572291
NM Coulter-Nile,4,0.5,1.5,0.25,0.25,0.75,0.0079365079365079,0.869970468807678,0.8276667433247572
Mohammed Siraj,7,0.5,1.4285714285714286,0.1428571428571428,0.0,0.7857142857142857,0.0138067061143984,0.8697536810238062,0.8274604971985919
J Syed Mohammad,3,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0059642147117296,0.8697119607933793,0.8274208056820562
AC Blizzard,41,0.5,1.4878048780487805,0.2682926829268293,0.048780487804878,0.8536585365853658,0.0757855822550831,0.8696212870223101,0.8273345410702141
Sohail Tanvir,14,0.8214285714285714,1.0,0.0714285714285714,0.0714285714285714,0.8214285714285714,0.0272373540856031,0.869581938286128,0.827297105730168
DT Christian,10,0.6,1.3,0.1,0.1,0.8,0.0196078431372549,0.8695394436844504,0.8272566774974401
Basil Thampi,2,0.5,1.0,0.0,0.0,0.5,0.0039840637450199,0.8694524228666728,0.8271738882081092
V Viyaskanth,5,0.5,1.4,0.0,0.0,0.7,0.0099009900990099,0.8692378540179599,0.8269697531177809
TK Curran,1,0.5,0.0,0.0,0.0,0.0,0.0019960079840319,0.8691918488604187,0.8269259850356636
HR Shokeen,1,0.5,0.0,0.0,0.0,0.0,0.0019960079840319,0.8691918488604187,0.8269259850356636
S Aravind,1,0.5,0.0,0.0,0.0,0.0,0.0019960079840319,0.8691918488604187,0.8269259850356636
MS Dhoni,486,0.6512345679012346,1.2325102880658436,0.1316872427983539,0.037037037037037,0.8672839506172839,0.4929006085192697,0.8691329779706589,0.8268699768384304
D Wiese,8,0.5,1.5,0.125,0.125,0.75,0.0157480314960629,0.8690258194469878,0.8267680290718263
NLTC Perera,8,0.5,1.375,0.25,0.125,0.75,0.0157480314960629,0.8690258194469878,0.8267680290718263
